Menu Item Sales,,,,,,,,,
Name,Unit,Price,Qty,Amount,,,,,
1000,Curry Puffs,,6.75,25.00,1.39,%,173.33,1.08,%
1001,Large Samosas,,6.75,20.00,1.12,%,140.25,0.87,%
1002, Samosas - Vege,,7.50,18.00,1.00,%,136.00,0.85,%
1003,Mini Spring Rolls,,7.50,11.00,0.61,%,82.50,0.51,%
1004, Curry Samosas,,6.50,9.00,0.50,%,52.50,0.33,%
1005,Onion Bhajia,,7.50,51.00,2.84,%,351.50,2.19,%
1006,chicken sticks,,9.50,12.00,0.67,%,114.20,0.71,%
1007,Tikka Chicken,,16.00,3.00,0.17,%,44.00,0.27,%
1008,chicken strips,,9.50,11.00,0.61,%,97.50,0.61,%
1009,Butter Chicken,,17.00,144.00,8.03,%,"2,508.00",15.61,%
1010,Madras Chicken,,18.50,12.00,0.67,%,208.00,1.29,%
1011,Chicken Korma,,16.50,30.00,1.67,%,518.75,3.23,%
1012,CH Tikka Masala,,18.50,31.00,1.73,%,529.50,3.30,%
1013,Chicken Vindaloo,,16.50,5.00,0.28,%,84.50,0.53,%
1014, Mustard Chicken,,18.50,25.00,1.39,%,434.50,2.70,%
1015,Chk In Coconut,,16.50,5.00,0.28,%,86.50,0.54,%
1016,Chicken Jalfrezi,,16.50,7.00,0.39,%,121.50,0.76,%
1017,Chefs SP Chicken.,,18.50,6.00,0.33,%,105.00,0.65,%
1018,Kukulmas Curry,,16.50,7.00,0.39,%,121.50,0.76,%
1019,Rogan Josh,,17.50,26.00,1.45,%,463.00,2.88,%
1020,Palak Gosht,,19.50,5.00,0.28,%,91.50,0.57,%
1021,Madras Lamb,,17.50,9.00,0.50,%,167.50,1.04,%
1022, Lamb Korma,,17.50,32.00,1.78,%,584.00,3.64,%
1023,Lamb Vindaloo,,17.50,6.00,0.33,%,107.00,0.67,%
1024,Chefs SP Lamb,,17.50,7.00,0.39,%,128.50,0.80,%
1025,Lamb Masala,,17.50,10.00,0.56,%,183.00,1.14,%
1026,Beef Vindaloo,,17.50,9.00,0.50,%,155.50,0.97,%
1027,Beef Jalfrezi,,16.50,5.00,0.28,%,84.50,0.53,%
1028,Madras Beef,,16.50,16.00,0.89,%,274.00,1.71,%
1029,Moghlai beef,,16.50,4.00,0.22,%,68.00,0.42,%
1030,Beef Korma,,18.50,11.00,0.61,%,189.50,1.18,%
1031,Chefs Sp beef,,16.50,6.00,0.33,%,109.00,0.68,%
1033,Mixed Seafood,,19.00,8.00,0.45,%,164.00,1.02,%
1034,K Praw N Coconut,,19.00,8.00,0.45,%,158.00,0.98,%
1035,Spicy King Prawn,,21.00,1.00,0.06,%,21.00,0.13,%
1036,Prawn Vindaloo,,19.00,1.00,0.06,%,19.00,0.12,%
1038,Fish in Coconut,,18.00,5.00,0.28,%,96.00,0.60,%
1039,Chefs SP fish,,18.00,4.00,0.22,%,81.00,0.50,%
1040,Vege Korma,,15.50,4.00,0.22,%,59.00,0.37,%
1041, Potato Bhaji,,14.50,12.00,0.67,%,176.50,1.10,%
1042, Aloo Mattar,,15.50,2.00,0.11,%,30.00,0.19,%
1043, Channa Masala,,15.50,3.00,0.17,%,45.50,0.28,%
1044,Devilled Potato,,14.50,6.00,0.33,%,90.00,0.56,%
1045,Paneer Masala,,15.50,2.00,0.11,%,31.00,0.19,%
1046, Palak Paneer,,16.50,14.00,0.78,%,226.00,1.41,%
1047,Butter Paneer,,15.50,7.00,0.39,%,109.50,0.68,%
1048,Cabbage/Potato,,14.50,6.00,0.33,%,91.00,0.57,%
1049,Devilled Cabbage,,16.00,1.00,0.06,%,16.00,0.10,%
1050,Pumpkin,,14.50,5.00,0.28,%,76.50,0.48,%
1051, Dhal,,14.50,12.00,0.67,%,180.00,1.12,%
1052,Parippu,,15.50,1.00,0.06,%,15.50,0.10,%
1053, Dhal Makhani,,15.50,6.00,0.33,%,91.50,0.57,%
1054,Green Bean Garlic,,14.50,7.00,0.39,%,104.50,0.65,%
1055, Potato Masala,,14.50,1.00,0.06,%,14.50,0.09,%
1056, Potato Curry,,14.50,3.00,0.17,%,43.50,0.27,%
1057,Vege Butter Chick,,15.50,11.00,0.61,%,170.50,1.06,%
1058,Veg Chick Vinloo,,16.50,1.00,0.06,%,16.50,0.10,%
1059,Vege St Fry Chick,,16.50,9.00,0.50,%,143.50,0.89,%
1060, Pepper Chicken,,16.50,1.00,0.06,%,16.50,0.10,%
1063, Pepper K Prawn,,21.00,1.00,0.06,%,21.00,0.13,%
1064, Yellow Rice Medium,,4.50,36.00,2.01,%,148.50,0.92,%
1065, White Rice Medium,,3.25,24.00,1.34,%,90.75,0.56,%
1066, Pulao,,9.00,13.00,0.73,%,111.00,0.69,%
1067, Chicken Biryani,,15.50,30.00,1.67,%,455.50,2.84,%
1068, Lamb Biryani,,16.00,11.00,0.61,%,171.00,1.06,%
1069, Beef Biryani,,15.50,3.00,0.17,%,45.50,0.28,%
1070,Special Fried Rice,,15.00,11.00,0.61,%,166.00,1.03,%
1071,Plain Naan,,4.00,106.00,5.91,%,440.50,2.74,%
1072, Garlic Naan,,4.75,208.00,11.60,%,949.25,5.91,%
1073,juice (glass of),,3.00,1.00,0.06,%,3.00,0.02,%
1074, Chapattis,,1.50,33.00,1.84,%,49.50,0.31,%
1075, Parathas,,2.25,28.00,1.56,%,56.50,0.35,%
1076, Pappodums x 4,,2.75,78.00,4.35,%,218.50,1.36,%
1077,Raita,,2.50,32.00,1.78,%,80.00,0.50,%
1078, Achar,,3.00,1.00,0.06,%,3.00,0.02,%
1079, Mango Chutney,,2.50,9.00,0.50,%,22.50,0.14,%
